cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2023-43512,Transient DOS while parsing GATT service data when the total amount of memory that is required by the multiple services is greater than the actual size of the services buffer.,2024-01-02T05:38:55.097Z,7.5,"Qualcomm, Inc.",Snapdragon,,GATT service parser,,,service data parser,the total amount of memory required by the multiple services exceeds the actual size of the services buffer,parsing GATT service data,Exploit the buffer overflow by parsing data with excessive memory requirements,No,Buffer overflow condition,Local,Unauthenticated,Transient Denial of Service (DOS),Service disruption due to memory overflow
CVE-2023-32831,"In wlan driver, there is a possible PIN crack due to use of insufficiently random values. This could lead to local information disclosure with no execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00325055; Issue ID: MSV-868.",2024-01-02T02:50:09.278Z,,"MediaTek, Inc.","MT6890, MT7612, MT7613, MT7615, MT7622, MT7626, MT7629, MT7915, MT7916, MT7981, MT7986",Unspecified,wlan driver,Unspecified,Unspecified,wlan driver,use of insufficiently random values,Unspecified,Attempt to crack PIN,No,Unspecified,Local,No execution privileges needed,Information Disclosure,Local information disclosure
CVE-2023-32884,"In netdagent, there is a possible information disclosure due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07944011; Issue ID: ALPS07944011.",2024-01-02T02:49:56.354Z,,"MediaTek, Inc.","MT2713, MT6580, MT6739, MT6761, MT6765, MT6768, MT6779, MT6781, MT6785, MT6789, MT6833, MT6835, MT6853, MT6855, MT6873, MT6877, MT6879, MT6883, MT6885, MT6886, MT6889, MT6893, MT6895, MT6983, MT6985, MT8167, MT8167S, MT8168, MT8173, MT8175, MT8188, MT8192, MT8195, MT8195Z, MT8321, MT8362A, MT8365, MT8385, MT8395, MT8666, MT8667, MT8673, MT8696, MT8755, MT8765, MT8766, MT8768, MT8771, MT8775, MT8781, MT8786, MT8788, MT8789, MT8791, MT8791T, MT8795T, MT8797, MT8798, MT8871",,netdagent,,,Incorrect bounds check,Incorrect bounds check,N/A,Exploit the information disclosure vulnerability,No,,Local,System,Information disclosure,Local escalation of privilege
CVE-2023-32650,"An integer overflow vulnerability exists in the FST_BL_GEOM parsing maxhandle functionality of GTKWave 3.3.115, when compiled as a 32-bit binary. A specially crafted .fst file can lead to memory corruption. A victim would need to open a malicious file to trigger this vulnerability.",2024-01-08T14:48:02.204Z,7.0,GTKWave,GTKWave,GTKWave,GTKWave,3.3.115,N/A,FST_BL_GEOM parsing maxhandle functionality,Integer overflow during parsing,Opening a specially crafted .fst file,Craft a malicious .fst file,"Yes, victim needs to open the file",Compiled as a 32-bit binary,None,None,Integer Overflow,Memory corruption
CVE-2023-32888,"In Modem IMS Call UA, there is a possible out of bounds write due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161830; Issue ID: MOLY01161830 (MSV-894).",2024-01-02T02:50:03.942Z,,"MediaTek, Inc.","MT2735, MT6813, MT6833, MT6833P, MT6835, MT6853, MT6853T, MT6855, MT6873, MT6875, MT6877, MT6877T, MT6878, MT6879, MT6880, MT6883, MT6885, MT6886, MT6889, MT6890, MT6891, MT6893, MT6895, MT6895T, MT6896, MT6897, MT6980, MT6980D, MT6983T, MT6983W, MT6983Z, MT6985, MT6985T, MT6989, MT6990",N/A,Modem IMS Call UA,N/A,N/A,Missing bounds check,Missing bounds check,N/A,Make a crafted remote request,No,N/A,Remote,No additional execution privileges needed,Out of bounds write,Remote denial of service
CVE-2023-32872,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308607; Issue ID: ALPS08308607.",2024-01-02T02:49:36.395Z,,"MediaTek, Inc.","MT6580, MT6731, MT6735, MT6737, MT6739, MT6753, MT6757, MT6757C, MT6757CD, MT6757CH, MT6761, MT6762, MT6763, MT6765, MT6768, MT6769, MT6771, MT6779, MT6781, MT6785, MT6789, MT6833, MT6835, MT6853, MT6853T, MT6855, MT6873, MT6875, MT6877, MT6879, MT6883, MT6885, MT6886, MT6889, MT6891, MT6893, MT6895, MT6983, MT6985, MT8185, MT8321, MT8385, MT8666, MT8667, MT8673, MT8675, MT8765, MT8766, MT8768, MT8781, MT8786, MT8788, MT8789, MT8791, MT8791T, MT8797, MT8798",,keyInstall,,,missing bounds check,possible out of bounds write due to a missing bounds check,,local escalation of privilege with System execution privileges,No,,Local,System execution privileges,out of bounds write,local escalation of privilege
CVE-2023-32878,"In battery, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08308070; Issue ID: ALPS08307992.",2024-01-02T02:49:45.319Z,,"MediaTek, Inc.","MT6762, MT6765, MT6833, MT6879, MT6883, MT6885, MT6983, MT8167, MT8168, MT8188, MT8321, MT8765, MT8766, MT8768, MT8781, MT8786, MT8788, MT8789, MT8791T, MT8797, MT8798",,battery,N/A,N/A,missing bounds check,missing bounds check,,,No,,Local,System execution privileges,Information disclosure,Local information disclosure
CVE-2023-32874,"In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161803; Issue ID: MOLY01161803 (MSV-893).",2024-01-02T02:49:38.153Z,,"MediaTek, Inc.","MT2735, MT6779, MT6781, MT6783, MT6785, MT6785T, MT6789, MT6813, MT6833, MT6833P, MT6835, MT6853, MT6853T, MT6855, MT6873, MT6875, MT6877, MT6877T, MT6878, MT6879, MT6880, MT6883, MT6885, MT6886, MT6889, MT6890, MT6891, MT6893, MT6895, MT6895T, MT6896, MT6897, MT6980, MT6980D, MT6983T, MT6983W, MT6983Z, MT6985, MT6985T, MT6989, MT6990",N/A,Modem IMS Stack,N/A,N/A,Missing bounds check,Possible out of bounds write,N/A,Exploit the out of bounds write,No,N/A,Remote,No additional execution privileges needed,Out of bounds write leading to remote code execution,Remote code execution
CVE-2023-47219,"A SQL injection vulnerability has been reported to affect QuMagie. If exploited, the vulnerability could allow authenticated users to inject malicious code via a network. We have already fixed the vulnerability in the following version: QuMagie 2.2.1 and later",2024-01-05T16:18:32.213Z,3.5,QNAP Systems Inc.,QuMagie,QNAP,QuMagie,prior to 2.2.1,N/A,SQL query interface,Improper input sanitization in SQL queries,Authenticated user injecting malicious code via a network,Inject malicious SQL code,No,Authenticated session required,Network,Authenticated,SQL Injection,"Executing arbitrary SQL commands, potentially accessing or modifying database content"
CVE-2023-47039,"A vulnerability was found in Perl. This security issue occurs while Perl for Windows relies on the system path environment variable to find the shell (`cmd.exe`). When running an executable that uses the Windows Perl interpreter, Perl attempts to find and execute `cmd.exe` within the operating system. However, due to path search order issues, Perl initially looks for cmd.exe in the current working directory. This flaw allows an attacker with limited privileges to place`cmd.exe` in locations with weak permissions, such as `C:\ProgramData`. By doing so, arbitrary code can be executed when an administrator attempts to use this executable from these compromised locations.",2024-01-02T05:30:53.168Z,7.8,,perl,Perl,Perl interpreter for Windows,N/A,Windows,System path environment variable reliance,Path search order issues causing Perl to look for cmd.exe in the current working directory,Running an executable using the Windows Perl interpreter,Place cmd.exe in locations with weak permissions,Administrator runs the Perl executable from compromised location,cmd.exe placed in locations with weak permissions,Local,Limited privileges,Arbitrary code execution,Arbitrary code execution with escalated privileges
CVE-2023-47858,"Mattermost fails to properly verify the permissions needed for viewing archived public channels, allowing a member of one team to get details about the archived public channels of another team via the GET /api/v4/teams/<team-id>/channels/deleted endpoint.",2024-01-02T09:54:25.057Z,4.3,Mattermost,Mattermost,Mattermost,Mattermost,N/A,N/A,GET /api/v4/teams/<team-id>/channels/deleted endpoint,fails to properly verify the permissions needed for viewing archived public channels,a member of one team requests details about archived public channels of another team,send requests to the endpoint to get details about archived public channels,No,,Remote,Member of one team,Improper Permission Verification,Access to details about archived public channels of another team
CVE-2023-47458,An issue in SpringBlade v.3.7.0 and before allows a remote attacker to escalate privileges via the lack of permissions control framework.,2024-01-02T00:00:00,,,,N/A,SpringBlade,v.3.7.0 and before,N/A,permissions control framework,lack of permissions control,remote access without permissions control,escalate privileges,No,N/A,Remote,Low,Privilege Escalation,Attacker can gain elevated privileges
CVE-2023-47140,IBM CICS Transaction Gateway 9.3 could allow a user to transfer or view files due to improper access controls. IBM X-Force ID: 270259.,2024-01-08T02:08:00.545Z,4.0,IBM,CICS Transaction Gateway Containers,IBM,CICS Transaction Gateway,9.3,N/A,Improper access controls,Improper access controls allow for unauthorized file access,Accessing files without proper permissions,Transfer or view files,No,N/A,N/A,Low,Improper Access Control,Unauthorized transfer or viewing of files
CVE-2023-47145,"IBM Db2 for Windows (includes Db2 Connect Server) 10.5, 11.1, and 11.5 could allow a local user to escalate their privileges to the SYSTEM user using the MSI repair functionality. IBM X-Force ID: 270402.",2024-01-07T18:58:06.166Z,8.4,IBM,Db2,IBM,Db2 for Windows,"10.5, 11.1, and 11.5",Windows,MSI repair functionality,The MSI repair functionality allows privilege escalation,Using the MSI repair functionality,Local user escalates their privileges,No,Local user access,Local,Low,Privilege Escalation,Escalation of privileges to SYSTEM user
CVE-2023-39294,"An OS command injection vulnerability has been reported to affect several QNAP operating system versions. If exploited, the vulnerability could allow authenticated administrators to execute commands via a network. We have already fixed the vulnerability in the following versions: QTS 5.1.3.2578 build 20231110 and later QuTS hero h5.1.3.2578 build 20231110 and later",2024-01-05T16:19:26.278Z,6.6,QNAP Systems Inc.,QTS,QNAP,QNAP operating system,before QTS 5.1.3.2578 build 20231110 and QuTS hero h5.1.3.2578 build 20231110,QNAP operating system,OS command execution component,Improper input validation allowing OS command injection,Authenticated administrator sends a crafted command over the network,Execute commands via a network,No,Admin access with network connectivity,Remote,Authenticated administrator privilege,OS command injection,Authenticated administrators can execute arbitrary commands
CVE-2023-39655,"A host header injection vulnerability exists in the NPM package @perfood/couch-auth versions <= 0.20.0. By sending a specially crafted host header in the forgot password request, it is possible to send password reset links to users which, once clicked, lead to an attacker-controlled server and thus leak the password reset token. This may allow an attacker to reset other users' passwords and take over their accounts.",2024-01-03T00:00:00,,,,NPM,@perfood/couch-auth,<= 0.20.0,N/A,forgot password request,Improper validation of host header in requests,Sending a specially crafted host header,Send a specially crafted host header to initiate a password reset,"Yes, user must click on the password reset link",,Remote,Unauthenticated,Host header injection,"Leakage of password reset token, account takeover"
CVE-2023-4280,An unvalidated input in Silicon Labs TrustZone implementation in v4.3.x and earlier of the Gecko SDK allows an attacker to access the trusted region of memory from the untrusted region.,2024-01-02T16:52:06.959Z,9.3,silabs.com,GSDK,Silicon Labs,Gecko SDK,v4.3.x and earlier,N/A,TrustZone implementation,Unvalidated input,Access from untrusted region,Access the trusted region of memory from the untrusted region,No,,Local,Untrusted region access,Memory Access Violation,Unauthorized memory access to trusted region
CVE-2023-29050,"The optional ""LDAP contacts provider"" could be abused by privileged users to inject LDAP filter strings that allow to access content outside of the intended hierarchy. Unauthorized users could break confidentiality of information in the directory and potentially cause high load on the directory server, leading to denial of service. Encoding has been added for user-provided fragments that are used when constructing the LDAP query. No publicly available exploits are known.",2024-01-08T08:51:40.489Z,7.6,Open-Xchange GmbH,OX App Suite,,LDAP contacts provider,N/A,N/A,LDAP filter strings in the LDAP contacts provider,Improper encoding of user-provided fragments in LDAP query construction,Injection of LDAP filter strings by privileged users,Inject LDAP filter strings to access content outside intended hierarchy,No,N/A,Local,Privileged users (authenticated),Information Disclosure / Denial of Service,Break confidentiality of information and potentially cause high load on directory server leading to denial of service
CVE-2023-48418,"In checkDebuggingDisallowed of DeviceVersionFragment.java, there is a possible way to access adb before SUW completion due to an insecure default value. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation",2024-01-02T22:25:31.573Z,10.0,Google,Pixel Watch,Android,DeviceVersionFragment.java,N/A,N/A,checkDebuggingDisallowed of DeviceVersionFragment.java,Insecure default value,Access adb before SUW completion,Access adb before SUW completion,No,System boot state before SUW completion,Local,None,Local Escalation of Privilege,Local escalation of privilege with no additional execution privileges needed
CVE-2023-48419,"An attacker in the wifi vicinity of a target Google Home can spy on the victim, resulting in Elevation of Privilege",2024-01-02T18:44:01.180Z,10.0,Google,Google Nest Mini,Google,Google Home,N/A,N/A,Google Home device,Allows Wi-Fi attacks due to lack of sufficient security,Presence of attacker in the Wi-Fi vicinity of target,Spy on the victim,No,Wi-Fi connectivity,Local Wi-Fi,Unauthenticated,Elevation of Privilege,Elevation of Privilege
CVE-2023-1032,The Linux kernel io_uring IORING_OP_SOCKET operation contained a double free in function __sys_socket_file() in file net/socket.c. This issue was introduced in da214a475f8bd1d3e9e7a19ddfeb4d1617551bab and fixed in 649c15c7691e9b13cbe9bf6c65c365350e056067.,2024-01-08T18:11:31.951Z,4.7,The Linux Kernel Organization,linux,Linux,Linux kernel,introduced in commit da214a475f8bd1d3e9e7a19ddfeb4d1617551bab,Linux,__sys_socket_file() function in file net/socket.c,double free,use of IORING_OP_SOCKET operation in io_uring,,No,,Local,Authenticated,Double free,Potential system instability or execution of arbitrary code
CVE-2023-49142,in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.,2024-01-02T07:24:22.879Z,4.0,OpenHarmony,OpenHarmony,OpenHarmony,OpenHarmony,v3.2.2 and prior versions,N/A,multimedia audio,modifying a released pointer,modification of a released pointer,modify a released pointer,No,Local access,Local,Authenticated,Crash,Multimedia audio crash
CVE-2023-49251,"A vulnerability has been identified in SIMATIC CN 4100 (All versions < V2.7). The ""intermediate installation"" system state of the affected application allows an attacker to add their own login credentials to the device. This allows an attacker to remotely login as root and take control of the device even after the affected device is fully set up.",2024-01-09T10:00:08.834Z,8.8,Siemens,SIMATIC CN 4100,Siemens,SIMATIC CN 4100,All versions < V2.7,N/A,Intermediate installation system,Allows attacker to add their own login credentials,Intermediate installation of SIMATIC CN 4100,Add own login credentials and remotely login as root,No,Intermediate installation,Remote,Root access,Privilege Escalation,Attacker can take control of the device after setup
CVE-2023-49554,Use After Free vulnerability in YASM 1.3.0.86.g9def allows a remote attacker to cause a denial of service via the do_directive function in the modules/preprocs/nasm/nasm-pp.c component.,2024-01-02T00:00:00,,,,YASM,YASM,1.3.0.86.g9def,N/A,modules/preprocs/nasm/nasm-pp.c component,Use After Free,via the do_directive function,cause a denial of service,No,,Remote,Unauthenticated,Use After Free,Denial of Service
CVE-2023-49722,"Network port 8899 open in WiFi firmware of BCC101/BCC102/BCC50 products, that allows an attacker to connect to the device via same WiFi network.",2024-01-09T09:54:57.409Z,8.3,Bosch,BCC101,,WiFi firmware of BCC101/BCC102/BCC50 products,,,Network port 8899 open,,Connect to the device via the same WiFi network,Connect to the device via open port,No,Same WiFi network,Local network (same WiFi network),None,Open port vulnerability,Unauthorized access to the device
CVE-2023-49236,"A stack-based buffer overflow was discovered on TRENDnet TV-IP1314PI 5.5.3 200714 devices, leading to arbitrary command execution. This occurs because of lack of length validation during an sscanf of a user-entered scale field in the RTSP playback function of davinci.",2024-01-09T00:00:00,,,,TRENDnet,TV-IP1314PI,5.5.3 200714,N/A,RTSP playback function of davinci,lack of length validation during an sscanf of a user-entered scale field,user-entered scale field causing buffer overflow,Send malicious input to trigger buffer overflow,No,N/A,Local,Authenticated user,stack-based buffer overflow,arbitrary command execution
CVE-2023-49794,"KernelSU is a Kernel-based root solution for Android devices. In versions 0.7.1 and prior, the logic of get apk path in KernelSU kernel module can be bypassed, which causes any malicious apk named `me.weishu.kernelsu` get root permission. If a KernelSU module installed device try to install any not checked apk which package name equal to the official KernelSU Manager, it can take over root privileges on the device. As of time of publication, a patched version is not available.",2024-01-02T19:58:56.152Z,6.7,tiann,KernelSU,KernelSU,KernelSU kernel module,0.7.1 and prior,Android,logic of get apk path in KernelSU kernel module,can be bypassed,installing any malicious apk named 'me.weishu.kernelsu',install a malicious apk with a specific package name,"Yes, user attempts to install the apk",Device with KernelSU module installed,Local,Root access,Privilege Escalation,Malicious apk can gain root permissions
CVE-2023-49235,"An issue was discovered in libremote_dbg.so on TRENDnet TV-IP1314PI 5.5.3 200714 devices. Filtering of debug information is mishandled during use of popen. Consequently, an attacker can bypass validation and execute a shell command.",2024-01-09T00:00:00,,,,TRENDnet,TV-IP1314PI,5.5.3 200714,N/A,libremote_dbg.so,Filtering of debug information is mishandled during use of popen,Use of popen,Execute a shell command,No,,Remote,Unauthenticated,Command Injection,An attacker can execute arbitrary shell commands
CVE-2023-49238,"In Gradle Enterprise before 2023.1, a remote attacker may be able to gain access to a new installation (in certain installation scenarios) because of a non-unique initial system user password. Although this password must be changed upon the first login, it is possible that an attacker logs in before the legitimate administrator logs in.",2024-01-09T00:00:00,,,,Gradle,Gradle Enterprise,before 2023.1,N/A,non-unique initial system user password,initial system user password is not unique,attacker logs in before the legitimate administrator,logs in using the initial system password,"Yes, the administrator must change the password upon first login",New installation in certain scenarios,Remote,No authentication required initially,Improper Authentication,Unauthorized access to the system
CVE-2023-49442,Deserialization of Untrusted Data in jeecgFormDemoController in JEECG 4.0 and earlier allows attackers to run arbitrary code via crafted POST request.,2024-01-03T00:00:00,,,,JEECG,JEECG,4.0 and earlier,N/A,jeecgFormDemoController,Deserialization of Untrusted Data,crafted POST request,run arbitrary code via crafted POST request,No,,Remote,Unauthenticated,Deserialization of Untrusted Data,Allows attackers to run arbitrary code
CVE-2023-49121,A vulnerability has been identified in Solid Edge SE2023 (All versions < V223.0 Update 10). The affected application is vulnerable to heap-based buffer overflow while parsing specially crafted PAR files. This could allow an attacker to execute code in the context of the current process.,2024-01-09T09:59:52.512Z,7.8,Siemens,Solid Edge SE2023,Siemens,Solid Edge,SE2023 (All versions < V223.0 Update 10),N/A,Parsing specially crafted PAR files,Heap-based buffer overflow,Parsing specially crafted PAR files,Execute code in the context of the current process,Yes (parsing of PAR files is required),,Local,Depends on the process context (likely lower privilege),Heap-based buffer overflow,Potential code execution
CVE-2023-38675,FPE in paddle.linalg.matrix_rank in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.,2024-01-03T08:10:48.838Z,4.7,PaddlePaddle,PaddlePaddle,PaddlePaddle,PaddlePaddle,before 2.6.0,N/A,paddle.linalg.matrix_rank,Floating Point Exception (FPE),Execution of paddle.linalg.matrix_rank with certain inputs,Trigger FPE by executing the vulnerable function,No,Runtime execution of the vulnerable function,Local,No privilege required,Denial of Service,Runtime crash and denial of service
CVE-2023-5880,When the Genie Company Aladdin Connect garage door opener (Retrofit-Kit Model ALDCM) is placed into configuration mode the web servers “Garage Door Control Module Setup” page is vulnerable to XSS via a broadcast SSID name containing malicious code with client side Java Script and/or HTML. This allows the attacker to inject malicious code with client side Java Script and/or HTML into the users' web browser.,2024-01-03T19:16:44.618Z,,The Genie Company,Aladdin Connect (Retrofit-Kit),Genie Company,Aladdin Connect garage door opener,Retrofit-Kit Model ALDCM,N/A,Web server's “Garage Door Control Module Setup” page,Vulnerability in handling SSID name input,SSID name containing malicious code,Inject malicious code with client-side JavaScript and/or HTML,Yes,Garage door opener placed in configuration mode,Local,Unauthenticated,Cross-Site Scripting (XSS),Injection of malicious code into user's web browser
CVE-2023-5091,Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver allows a local non-privileged user to make improper GPU processing operations to gain access to already freed memory. This issue affects Valhall GPU Kernel Driver: from r37p0 through r40p0.,2024-01-08T09:23:35.019Z,,Arm Ltd,Valhall GPU Kernel Driver,Arm Ltd,Valhall GPU Kernel Driver,from r37p0 through r40p0,N/A,Valhall GPU Kernel Driver,allows a local non-privileged user to make improper GPU processing operations,improper GPU processing operations,make improper GPU processing operations to gain access to already freed memory,No,local,Local,Non-privileged,Use After Free,Gain access to already freed memory
CVE-2023-5235,"The Ovic Responsive WPBakery WordPress plugin before 1.2.9 does not limit which options can be updated via some of its AJAX actions, which may allow attackers with a subscriber+ account to update blog options, such as 'users_can_register' and 'default_role'. It also unserializes user input in the process, which may lead to Object Injection attacks.",2024-01-08T19:00:36.131Z,,Unknown,Ovic Responsive WPBakery,Ovic,Ovic Responsive WPBakery WordPress plugin,before 1.2.9,N/A,AJAX actions,Does not limit which options can be updated and unserializes user input,Attackers with a subscriber+ account update blog options,Update blog options such as 'users_can_register' and 'default_role',No,,Remote,Subscriber+ account,Object Injection,May allow attackers to perform unauthorized actions and potentially execute arbitrary code
CVE-2023-5347,An Improper Verification of Cryptographic Signature vulnerability in the update process of Korenix JetNet Series allows replacing the whole operating system including Trusted Executables. This issue affects JetNet devices older than firmware version 2024/01.,2024-01-09T09:54:59.664Z,9.8,Korenix,JetNet Series,Korenix,JetNet Series,older than firmware version 2024/01,JetNet operating system,update process,Improper Verification of Cryptographic Signature,update process,replace the whole operating system including Trusted Executables,No,JetNet devices running older firmware,Remote,Unauthenticated,Improper Verification of Cryptographic Signature,Replacement of the entire operating system including trusted executables
CVE-2023-5877,"The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint, allowing unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses, leading to a Server Side Request Forgery (SSRF) issue.",2024-01-01T14:18:58.165Z,,Unknown,affiliate-toolkit,affiliate-toolkit,WordPress plugin,before 3.4.3,,affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint,lacks authorization and authentication for requests,unauthenticated requests to arbitrary URLs,"make requests to arbitrary URLs, including RFC1918 private addresses",No,,Remote,None,Server Side Request Forgery (SSRF),Potential internal network exploitation through SSRF
CVE-2023-28583,Memory corruption when IPv6 prefix timer object`s lifetime expires which are created while Netmgr daemon gets an IPv6 address.,2024-01-02T05:38:22.011Z,6.7,"Qualcomm, Inc.",Snapdragon,,Netmgr daemon,,,IPv6 prefix timer object's,lifetime expires,IPv6 prefix timer object's lifetime expiration,,No,,Local,,Memory corruption,
CVE-2022-2586,"It was discovered that a nft object or expression could reference a nft set on a different nft table, leading to a use-after-free once that table was deleted.",2024-01-08T17:46:06.110Z,5.3,The Linux Kernel Organization,linux,,nftables,N/A,,nft object or expression referencing a nft set on a different nft table,inadequate handling of nft objects in relation to nft tables,deletion of the nft table being referenced,manipulate nft objects or nft table structures,No,presence of nft objects referencing other nft tables,,Authenticated user with permissions to modify nftables,use-after-free,Potential execution of arbitrary code or crash of the software
CVE-2022-2081,"A vulnerability exists in the HCI Modbus TCP function included in the product versions listed above. If the HCI Modbus TCP is enabled and configured, an attacker could exploit the vulnerability by sending a specially crafted message to the RTU500 in a high rate, causing the targeted RTU500 CMU to reboot. The vulnerability is caused by a lack of flood control which eventually if exploited causes an internal stack overflow in the HCI Modbus TCP function.",2024-01-04T09:15:30.332Z,7.5,Hitachi Energy,RTU500 series CMU firmware,N/A,HCI Modbus TCP,N/A,N/A,HCI Modbus TCP function,lack of flood control,sending a specially crafted message to the RTU500 in a high rate,send a specially crafted message to the RTU500,No,HCI Modbus TCP is enabled and configured,Remote,Unauthenticated,Stack Overflow,Causing the targeted RTU500 CMU to reboot
CVE-2022-2585,"It was discovered that when exec'ing from a non-leader thread, armed POSIX CPU timers would be left on a list but freed, leading to a use-after-free.",2024-01-08T17:38:27.327Z,5.3,The Linux Kernel Organization,linux,N/A,POSIX CPU timer implementation,N/A,N/A,non-leader thread execution handling,armed timers are left on a list but freed,exec'ing from a non-leader thread,cause a non-leader thread to exec,No,Have armed POSIX CPU timers,N/A,N/A,Use-after-free,"Potential program or system crash, arbitrary code execution"
CVE-2022-2588,It was discovered that the cls_route filter implementation in the Linux kernel would not remove an old filter from the hashtable before freeing it if its handle had the value 0.,2024-01-08T17:50:47.948Z,5.3,The Linux Kernel Organization,linux,Linux,Linux kernel,N/A,Linux,cls_route filter implementation,would not remove an old filter from the hashtable before freeing it if its handle had the value 0,filter has a handle value of 0,N/A,No,N/A,Local,N/A,Use After Free,Potential memory corruption or exploitation due to use-after-free
CVE-2022-3010,"The Priva TopControl Suite contains predictable credentials for the SSH service, based on the Serial number. Which makes it possible for an attacker to calculate the login credentials for the Priva TopControll suite.",2024-01-02T18:32:22.947Z,7.5,Priva,TopControl Suite - Bacnet,Priva,TopControl Suite,N/A,N/A,SSH service,predictable credentials based on the Serial number,attacker calculates the login credentials,calculate the login credentials for SSH service,No,N/A,Remote,None,Predictable Credentials,Unauthorized access to the system through SSH
CVE-2022-3864,"A vulnerability exists in the Relion update package signature validation. A tampered update package could cause the IED to restart. After restart the device is back to normal operation. An attacker could exploit the vulnerability by first gaining access to the system with security privileges and attempt to update the IED with a malicious update package. Successful exploitation of this vulnerability will cause the IED to restart, causing a temporary Denial of Service.",2024-01-04T09:31:20.283Z,4.5,Hitachi Energy,Relion 670/650/SAM600-IO Series,Relion,Relion update package,N/A,N/A,update package signature validation,A tampered update package could be used,Attempt to update the IED with a malicious update package,Gain access to the system with security privileges and apply a tampered update package,No,IED is in a state where it accepts update packages,Local/Direct Access,Secure access with security privileges,Denial of Service,IED restart causing temporary denial of service
CVE-2022-45354,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in WPChill Download Monitor.This issue affects Download Monitor: from n/a through 4.7.60.,2024-01-08T20:45:20.169Z,5.3,WPChill,Download Monitor,WPChill,Download Monitor,from n/a through 4.7.60,N/A,Download Monitor,Exposure of Sensitive Information to an Unauthorized Actor,N/A,Access sensitive information without proper authorization,No,,Remote,Unauthenticated,Exposure of Sensitive Information to an Unauthorized Actor,Unauthorized access to sensitive information
CVE-2022-34344,"Missing Authorization vulnerability in Rymera Web Co Wholesale Suite – WooCommerce Wholesale Prices, B2B, Catalog Mode, Order Form, Wholesale User Roles, Dynamic Pricing & More.This issue affects Wholesale Suite – WooCommerce Wholesale Prices, B2B, Catalog Mode, Order Form, Wholesale User Roles, Dynamic Pricing & More: from n/a through 2.1.5.",2024-01-08T21:13:45.107Z,5.4,Rymera Web Co,"Wholesale Suite – WooCommerce Wholesale Prices, B2B, Catalog Mode, Order Form, Wholesale User Roles, Dynamic Pricing & More",Rymera Web Co,"Wholesale Suite – WooCommerce Wholesale Prices, B2B, Catalog Mode, Order Form, Wholesale User Roles, Dynamic Pricing & More",from n/a through 2.1.5,N/A,,Missing Authorization,,,No,,,Unauthenticated,Missing Authorization,
CVE-2022-46839,Unrestricted Upload of File with Dangerous Type vulnerability in JS Help Desk JS Help Desk – Best Help Desk & Support Plugin.This issue affects JS Help Desk – Best Help Desk & Support Plugin: from n/a through 2.7.1.,2024-01-05T10:44:56.274Z,10.0,JS Help Desk,JS Help Desk – Best Help Desk & Support Plugin,JS Help Desk,JS Help Desk – Best Help Desk & Support Plugin,from n/a through 2.7.1,N/A,File upload functionality,Unrestricted upload of files with dangerous types,Uploading a file with a dangerous type,Upload a file with a dangerous type,"Yes, user must upload a file",No restrictions on file type during upload,Remote,Unauthenticated or low privilege access,Unrestricted Upload of File with Dangerous Type,Potential execution of malicious files.
CVE-2020-26625,A SQL injection vulnerability was discovered in Gila CMS 1.15.4 and earlier which allows a remote attacker to execute arbitrary web scripts via the 'user_id' parameter after the login portal.,2024-01-02T00:00:00,,,,Gila CMS,Gila CMS,1.15.4 and earlier,N/A,'user_id' parameter,Improper sanitization of user input in the 'user_id' parameter,Providing malicious input to the 'user_id' parameter,Execute arbitrary web scripts,No,Logged in state required,Remote,Authenticated,SQL injection,Remote code execution
